customer_id,first_name,last_name,email,signup_date,city,state
1,Omkar,Ghosh,omkar_ghosh1@gmail.com,2025-03-07,Bangalore,Karnataka
2,Swati,Ghosh,swati_ghosh2@gmail.com,2025-11-02,Hyderabad,Telangana
3,Arjun,Shetty,arjun_shetty3@gmail.com,2025-04-02,Lucknow,Uttar Pradesh
4,Krishna,Reddy,krishna_reddy4@gmail.com,2024-05-17,Chandigarh,Chandigarh
5,Harsha,Mishra,harsha_mishra5@gmail.com,2025-03-12,Lucknow,Uttar Pradesh
6,Priya,Saxena,priya_saxena6@gmail.com,2024-05-18,Hyderabad,Telangana
7,Tanvi,Saxena,tanvi_saxena7@gmail.com,2025-01-15,Lucknow,Uttar Pradesh
8,Deepika,Ghosh,deepika_ghosh8@gmail.com,2025-04-12,Lucknow,Uttar Pradesh
9,Aditya,Choudhary,aditya_choudhary9@gmail.com,2025-09-19,Pune,Maharashtra
10,Rohit,Sharma,rohit_sharma10@gmail.com,2025-08-17,Chennai,Tamil Nadu
11,Tejas,Das,tejas_das11@gmail.com,2024-06-26,Chennai,Tamil Nadu
12,Neha,Malhotra,neha_malhotra12@gmail.com,2024-08-02,Bhopal,Madhya Pradesh
13,Aditya,Kapoor,aditya_kapoor13@gmail.com,2025-01-09,Lucknow,Uttar Pradesh
14,Ananya,Kapoor,ananya_kapoor14@gmail.com,2024-05-26,Mumbai,Maharashtra
15,Pooja,Malhotra,pooja_malhotra15@gmail.com,2025-02-05,Nagpur,Maharashtra
16,Vihaan,Patel,vihaan_patel16@gmail.com,2025-02-03,Bangalore,Karnataka
17,Aarav,Rao,aarav_rao17@gmail.com,2025-03-16,Hyderabad,Telangana
18,Ishaan,Patel,ishaan_patel18@gmail.com,2024-08-14,Jaipur,Rajasthan
19,Vivaan,Yadav,vivaan_yadav19@gmail.com,2024-08-09,Lucknow,Uttar Pradesh
20,Harsha,Desai,harsha_desai20@gmail.com,2024-03-30,Bhopal,Madhya Pradesh
21,Nikhil,Chatterjee,nikhil_chatterjee21@gmail.com,2025-09-27,Ahmedabad,Gujarat
22,Sai,Verma,sai_verma22@gmail.com,2024-04-10,Hyderabad,Telangana
23,Omkar,Saxena,omkar_saxena23@gmail.com,2024-09-15,Indore,Madhya Pradesh
24,Deepika,Naidu,deepika_naidu24@gmail.com,2024-03-01,Jaipur,Rajasthan
25,Karan,Ghosh,karan_ghosh25@gmail.com,2024-09-07,Bangalore,Karnataka
26,Meera,Iyer,meera_iyer26@gmail.com,2024-10-19,Bangalore,Karnataka
27,Priya,Menon,priya_menon27@gmail.com,2025-01-28,Hyderabad,Telangana
28,Vivaan,Malhotra,vivaan_malhotra28@gmail.com,2025-04-21,Mumbai,Maharashtra
29,Deepika,Agarwal,deepika_agarwal29@gmail.com,2025-07-29,Jaipur,Rajasthan
30,Reyansh,Mishra,reyansh_mishra30@gmail.com,2024-11-28,Nagpur,Maharashtra
31,Sai,Choudhary,sai_choudhary31@gmail.com,2024-11-16,Indore,Madhya Pradesh
32,Vikram,Sharma,vikram_sharma32@gmail.com,2024-06-06,Mumbai,Maharashtra
33,Sai,Reddy,sai_reddy33@gmail.com,2024-03-18,Hyderabad,Telangana
34,Ishaan,Menon,ishaan_menon34@gmail.com,2024-06-02,Bangalore,Karnataka
35,Tejas,Pillai,tejas_pillai35@gmail.com,2025-10-23,Mumbai,Maharashtra
36,Diya,Singh,diya_singh36@gmail.com,2024-12-10,Delhi,Delhi
37,Reyansh,Das,reyansh_das37@gmail.com,2025-04-12,Kolkata,West Bengal
38,Ananya,Nair,ananya_nair38@gmail.com,2025-10-08,Jaipur,Rajasthan
39,Sneha,Shetty,sneha_shetty39@gmail.com,2024-10-14,Mumbai,Maharashtra
40,Yash,Pandey,yash_pandey40@gmail.com,2024-09-01,Bhopal,Madhya Pradesh
41,Myra,Khan,myra_khan41@gmail.com,2024-03-18,Chennai,Tamil Nadu
42,Vihaan,Bansal,vihaan_bansal42@gmail.com,2024-05-22,Kochi,Kerala
43,Ishaan,Shetty,ishaan_shetty43@gmail.com,2024-05-10,Nagpur,Maharashtra
44,Myra,Singh,myra_singh44@gmail.com,2024-03-31,Bangalore,Karnataka
45,Saanvi,Saxena,saanvi_saxena45@gmail.com,2025-09-28,Kochi,Kerala
46,Aadhya,Menon,aadhya_menon46@gmail.com,2024-01-24,Hyderabad,Telangana
47,Rahul,Chatterjee,rahul_chatterjee47@gmail.com,2024-10-11,Mumbai,Maharashtra
48,Ira,Menon,ira_menon48@gmail.com,2024-02-07,Lucknow,Uttar Pradesh
49,Krishna,Tiwari,krishna_tiwari49@gmail.com,2024-09-27,Ahmedabad,Gujarat
50,Diya,Shetty,diya_shetty50@gmail.com,2025-11-25,Ahmedabad,Gujarat
51,Karan,Iyer,karan_iyer51@gmail.com,2024-01-24,Lucknow,Uttar Pradesh
52,Diya,Desai,diya_desai52@gmail.com,2025-09-03,Kochi,Kerala
53,Swati,Nair,swati_nair53@gmail.com,2025-11-11,Bangalore,Karnataka
54,Harsha,Nair,harsha_nair54@gmail.com,2024-09-28,Hyderabad,Telangana
55,Riya,Chatterjee,riya_chatterjee55@gmail.com,2024-01-18,Hyderabad,Telangana
56,Reyansh,Rao,reyansh_rao56@gmail.com,2025-07-03,Chandigarh,Chandigarh
57,Arjun,Singh,arjun_singh57@gmail.com,2024-07-29,Bhopal,Madhya Pradesh
58,Omkar,Reddy,omkar_reddy58@gmail.com,2024-03-13,Bhopal,Madhya Pradesh
59,Vivaan,Pillai,vivaan_pillai59@gmail.com,2024-05-10,Hyderabad,Telangana
60,Ananya,Patel,ananya_patel60@gmail.com,2025-07-17,Hyderabad,Telangana
61,Rohit,Chatterjee,rohit_chatterjee61@gmail.com,2025-11-29,Kolkata,West Bengal
62,Diya,Menon,diya_menon62@gmail.com,2025-05-10,Kolkata,West Bengal
63,Yash,Mishra,yash_mishra63@gmail.com,2025-05-30,Ahmedabad,Gujarat
64,Tejas,Agarwal,tejas_agarwal64@gmail.com,2024-01-06,Nagpur,Maharashtra
65,Sneha,Saxena,sneha_saxena65@gmail.com,2024-01-10,Kolkata,West Bengal
66,Riya,Bansal,riya_bansal66@gmail.com,2025-03-09,Lucknow,Uttar Pradesh
67,Tanvi,Sharma,tanvi_sharma67@gmail.com,2025-10-09,Indore,Madhya Pradesh
68,Arjun,Kapoor,arjun_kapoor68@gmail.com,2024-08-31,Nagpur,Maharashtra
69,Neha,Kulkarni,neha_kulkarni69@gmail.com,2024-01-08,Chandigarh,Chandigarh
70,Priya,Joshi,priya_joshi70@gmail.com,2024-07-02,Kochi,Kerala
71,Vikram,Choudhary,vikram_choudhary71@gmail.com,2025-11-28,Ahmedabad,Gujarat
72,Sneha,Rao,sneha_rao72@gmail.com,2024-04-08,Chandigarh,Chandigarh
73,Kavya,Joshi,kavya_joshi73@gmail.com,2024-12-20,Kochi,Kerala
74,Ishaan,Malhotra,ishaan_malhotra74@gmail.com,2024-03-16,Jaipur,Rajasthan
75,Ananya,Bansal,ananya_bansal75@gmail.com,2025-11-05,Bangalore,Karnataka
76,Aadhya,Bansal,aadhya_bansal76@gmail.com,2025-01-23,Mumbai,Maharashtra
77,Krishna,Patel,krishna_patel77@gmail.com,2025-02-09,Indore,Madhya Pradesh
78,Tanvi,Menon,tanvi_menon78@gmail.com,2025-01-06,Jaipur,Rajasthan
79,Swati,Agarwal,swati_agarwal79@gmail.com,2025-09-09,Indore,Madhya Pradesh
80,Rahul,Verma,rahul_verma80@gmail.com,2024-04-06,Hyderabad,Telangana
81,Deepika,Sharma,deepika_sharma81@gmail.com,2024-07-24,Kolkata,West Bengal
82,Myra,Tiwari,myra_tiwari82@gmail.com,2025-10-17,Hyderabad,Telangana
83,Omkar,Iyer,omkar_iyer83@gmail.com,2024-04-13,Mumbai,Maharashtra
84,Manish,Mishra,manish_mishra84@gmail.com,2025-03-28,Jaipur,Rajasthan
85,Vikram,Ghosh,vikram_ghosh85@gmail.com,2025-02-24,Indore,Madhya Pradesh
86,Neha,Tiwari,neha_tiwari86@gmail.com,2024-03-08,Bhopal,Madhya Pradesh
